Customer,Claim Amount ,Coverage,Education,Employment Status,Gender,Annual Income ($),Location Category,Marital Status,Age,Monthly Premium,Months Since Last Claim,Vehicle Size,Reported to Police?,Witness Details provided?,Weekend?,Car driveable?,"Fraud Detected? Yes=1, No=0"
QP56563,"2,707",Basic,College,Employed,M,80985,Rural,Married,17,103,0,Medsize,y,n,n,y,0
TN76120,"5,528",Basic,Bachelor,Employed,M,36088,Suburban,Single,41,92,16,Medsize,n,y,n,y,0
TY43440,"8,819",Basic,High School or Below,Employed,M,99845,Suburban,Married,43,116,23,Medsize,y,n,n,y,0
WO59883,"19,014",Basic,High School or Below,Employed,F,29822,Suburban,Single,26,55,17,Medsize,y,n,n,y,0
MM45334,"8,170",Basic,College,Employed,F,40803,Rural,Single,32,85,8,Medsize,n,y,n,y,0
KH93988,"7,709",Extended,College,Employed,F,71134,Rural,Married,32,100,21,Medsize,n,y,n,y,0
RY38931,"5,528",Basic,Bachelor,Employed,M,36088,Suburban,Single,41,100,16,Medsize,n,y,n,y,0
CV48634,"12,128",Basic,College,Employed,M,29431,Rural,Married,51,79,29,Medsize,n,n,n,y,0
IH48064,"9,080",Basic,High School or Below,Employed,M,68073,Suburban,Married,36,120,16,Medsize,n,n,n,y,0
ZS96174,"6,797",Basic,College,Medical Leave,M,17937,Suburban,Single,17,111,1,Medsize,n,y,n,y,1
MI62456,"2,867",Extended,Bachelor,Retired,F,23376,Suburban,Divorced,30,84,19,Medsize,n,y,n,y,1
DD44177,"2,396",Basic,Doctor,Disabled,F,21986,Suburban,Divorced,17,93,1,Medsize,y,y,n,y,0
NX31380,"7,094",Extended,Bachelor,Employed,F,23032,Suburban,Married,47,95,30,Medsize,n,y,n,y,0
KQ43374,"4,128",Basic,College,Employed,F,32114,Urban,Married,45,120,22,Medsize,n,n,n,y,0
XA54112,"4,047",Basic,Bachelor,Disabled,M,13330,Suburban,Single,49,81,33,Medsize,n,y,n,y,0
QB14087,"4,869",Basic,College,Employed,F,44934,Suburban,Married,28,77,9,Medsize,n,y,n,y,1
FV42881,"2,902",Basic,College,Employed,F,96137,Rural,Married,27,85,17,Medsize,y,y,n,y,0
AV76907,"4,283",Basic,College,Employed,F,40864,Rural,Married,23,123,16,Medsize,n,y,y,y,0
VM85555,"7,750",Basic,College,Employed,F,22668,Rural,Single,17,99,5,Medsize,n,y,n,y,0
ZU88113,"6,627",Extended,College,Employed,M,90751,Urban,Married,17,128,2,Medsize,n,y,n,y,0
SZ75668,"7,475",Basic,College,Employed,M,44186,Urban,Married,36,96,9,Medsize,y,y,n,y,0
MZ65087,"5,561",Basic,College,Employed,M,92678,Rural,Divorced,22,116,0,Small,n,n,n,y,0
EL61402,"6,098",Extended,Bachelor,Employed,F,74257,Urban,Married,36,82,16,Large,n,n,n,y,0
CJ31839,"2,860",Basic,Bachelor,Employed,M,99981,Urban,Married,19,105,2,Small,n,y,n,y,0
XM11175,"5,994",Extended,College,Unemployed,M,0,Suburban,Single,52,81,26,Small,y,y,n,y,0
LF41085,"5,635",Basic,College,Medical Leave,F,19591,Rural,Divorced,17,98,8,Medsize,y,y,n,y,0
MB19556,"5,067",Extended,College,Employed,F,29095,Suburban,Married,17,173,2,Medsize,n,y,n,y,0
HC74532,"2,263",Basic,Bachelor,Unemployed,F,0,Suburban,Married,35,64,25,Medsize,y,y,n,y,0
SB66770,"14,436",Premium,Master,Employed,M,60880,Rural,Married,51,109,25,Medsize,y,y,n,y,0
JI25066,"4,928",Basic,Bachelor,Employed,F,61785,Urban,Married,50,31,31,Large,n,n,y,y,0
PY98958,"12,037",Basic,Bachelor,Employed,M,44428,Suburban,Single,24,112,17,Medsize,n,y,n,y,0
RA65645,"8,565",Basic,High School or Below,Employed,M,95697,Rural,Married,50,95,29,Medsize,n,y,n,y,0
FQ79356,"2,362",Basic,Bachelor,Medical Leave,F,18064,Urban,Married,35,77,10,Medsize,n,y,n,y,0
TM25808,"5,566",Basic,High School or Below,Employed,M,74720,Urban,Divorced,36,92,15,Medsize,y,y,n,y,0
XO46388,"5,147",Basic,Bachelor,Disabled,F,22594,Suburban,Married,38,51,22,Medsize,n,y,n,y,0
LB81265,"2,938",Basic,Bachelor,Employed,F,40987,Urban,Divorced,18,115,6,Medsize,n,y,n,n,1
JR38787,"14,433",Extended,High School or Below,Disabled,M,24561,Suburban,Married,17,172,1,Small,y,y,y,y,0
KZ22690,"13,027",Extended,College,Employed,F,76456,Rural,Single,35,57,27,Medsize,y,y,n,y,0
NY49598,"2,452",Basic,College,Employed,M,65828,Suburban,Divorced,49,54,22,Small,y,y,n,y,0
KY39767,"4,662",Basic,College,Unemployed,F,0,Suburban,Single,17,106,0,Medsize,y,y,n,y,1
YU35386,"5,600",Basic,Bachelor,Employed,F,63621,Suburban,Married,19,102,8,Medsize,n,y,n,y,0
TF82172,"4,016",Basic,College,Medical Leave,M,10074,Rural,Married,47,85,33,Medsize,y,n,n,y,0
ER40041,"22,196",Basic,College,Employed,F,78965,Rural,Married,17,209,3,Medsize,n,n,n,y,0
MS39869,"7,343",Basic,College,Unemployed,F,0,Suburban,Single,39,92,16,Medsize,y,y,n,y,0
PV77906,"4,805",Basic,Bachelor,Disabled,M,23604,Suburban,Married,17,106,4,Medsize,n,y,n,y,1
QF21045,"2,736",Basic,College,Employed,F,99205,Urban,Married,25,98,7,Medsize,n,n,n,y,0
HF65914,"6,941",Extended,College,Unemployed,M,0,Suburban,Married,17,126,4,Medsize,y,y,n,y,0
AJ58038,"2,396",Basic,Bachelor,Unemployed,F,0,Suburban,Married,33,112,6,Large,y,y,n,y,0
ZR88383,"5,381",Basic,College,Employed,F,55350,Suburban,Married,17,113,0,Medsize,n,y,n,y,0
OT49339,"8,433",Basic,College,Disabled,M,21052,Urban,Married,31,129,12,Medsize,n,y,n,y,0
FI74985,"7,557",Basic,High School or Below,Unemployed,F,0,Suburban,Single,25,89,5,Medsize,n,y,n,y,0
JW15301,"7,787",Basic,High School or Below,Medical Leave,M,24664,Suburban,Married,21,93,12,Medsize,y,n,n,y,0
PY20159,"4,788",Extended,College,Employed,M,45225,Rural,Single,42,126,15,Small,n,y,n,n,0
NC42524,"9,708",Extended,College,Employed,M,30430,Suburban,Single,17,130,6,Small,y,y,n,y,0
ZG19911,"2,552",Basic,Bachelor,Employed,F,35149,Rural,Married,52,48,26,Medsize,n,y,y,n,0
DI89983,"5,223",Basic,Bachelor,Medical Leave,M,16513,Suburban,Divorced,41,71,23,Medsize,y,y,n,y,0
IG56214,"5,010",Basic,High School or Below,Disabled,M,10892,Suburban,Divorced,26,78,16,Medsize,n,y,n,y,0
LC59148,"5,597",Extended,High School or Below,Employed,F,37995,Suburban,Married,27,145,16,Medsize,n,y,n,y,0
UO95739,"4,458",Basic,College,Employed,M,54704,Urban,Divorced,17,145,6,Medsize,n,y,n,y,1
SB64873,"8,201",Basic,Doctor,Employed,M,25381,Suburban,Single,40,73,22,Medsize,y,y,n,y,0
TE82896,"2,746",Basic,High School or Below,Unemployed,F,0,Suburban,Married,28,120,5,Medsize,y,n,n,y,1
VY64199,"10,216",Basic,Bachelor,Disabled,F,18150,Urban,Married,41,89,17,Medsize,n,y,n,y,0
IE82679,"2,454",Basic,Bachelor,Medical Leave,M,29735,Suburban,Single,17,115,3,Medsize,n,y,n,y,1
SL70257,"5,873",Basic,College,Employed,F,77156,Suburban,Divorced,53,51,30,Small,y,n,n,y,0
XJ85947,"3,119",Extended,College,Employed,F,88782,Urban,Divorced,24,104,6,Large,n,y,n,n,1
EF84269,"5,569",Extended,College,Employed,F,51489,Rural,Married,30,173,14,Medsize,n,y,n,n,0
NY91328,"9,030",Extended,Bachelor,Retired,F,16972,Suburban,Divorced,38,149,17,Large,y,y,n,n,0
AT49447,"7,592",Extended,Bachelor,Employed,M,99359,Rural,Married,26,129,16,Medsize,y,y,n,y,0
BM70908,"2,255",Basic,College,Employed,M,58289,Suburban,Single,27,60,18,Medsize,n,y,n,y,0
GM63998,"32,614",Premium,Doctor,Employed,F,45173,Suburban,Married,47,286,20,Medsize,n,y,n,y,0
AR61426,"9,446",Extended,Bachelor,Employed,F,93246,Rural,Married,51,54,31,Medsize,y,y,n,y,0
CB62406,"6,804",Premium,High School or Below,Employed,M,43758,Suburban,Married,26,167,16,Medsize,n,y,n,n,0
WH82416,"9,766",Extended,Bachelor,Employed,M,75651,Urban,Married,49,71,23,Large,n,y,n,y,0
UI53874,"7,295",Basic,Doctor,Unemployed,F,0,Suburban,Divorced,40,67,13,Medsize,n,y,n,y,0
LM44949,"5,683",Basic,Doctor,Employed,F,36938,Urban,Married,48,66,32,Medsize,n,n,n,y,0
JR59597,"6,333",Extended,Bachelor,Employed,M,50843,Suburban,Single,36,120,12,Small,y,y,n,y,0
ZS22428,"4,917",Basic,Bachelor,Employed,F,21907,Rural,Married,17,90,6,Medsize,y,y,y,y,1
AZ34845,"4,798",Basic,Bachelor,Employed,F,77846,Urban,Married,20,151,8,Medsize,n,y,n,y,0
FL67726,"10,409",Basic,High School or Below,Retired,M,20228,Suburban,Divorced,17,125,3,Medsize,n,y,n,y,0
QU20310,"9,247",Extended,High School or Below,Employed,F,97030,Suburban,Married,29,94,14,Small,n,y,n,n,0
NQ42020,"7,323",Basic,High School or Below,Employed,M,80864,Urban,Married,17,208,5,Medsize,n,y,n,y,0
ZF40143,"8,276",Premium,College,Employed,F,48197,Suburban,Single,20,150,10,Medsize,y,y,n,y,0
GU65780,"5,635",Basic,Doctor,Employed,M,70837,Suburban,Married,22,99,7,Small,y,y,n,n,0
KY32675,"14,970",Extended,High School or Below,Employed,M,85297,Suburban,Married,17,113,7,Small,n,y,n,y,0
ZX35838,"9,336",Premium,Master,Employed,F,70177,Rural,Married,22,137,12,Medsize,y,y,n,y,0
LU42720,"48,357",Extended,College,Employed,M,52499,Suburban,Divorced,17,184,0,Medsize,y,y,n,y,1
FB25242,"5,687",Basic,College,Employed,M,63143,Suburban,Married,48,51,31,Medsize,y,y,n,n,0
RW51650,"8,623",Basic,Bachelor,Employed,M,97361,Suburban,Single,21,119,6,Medsize,y,y,n,y,0
XX94684,"5,080",Extended,High School or Below,Employed,M,50052,Suburban,Single,28,152,6,Small,n,y,n,y,0
AH99727,"5,623",Basic,Bachelor,Disabled,F,11612,Suburban,Married,41,73,20,Medsize,n,y,n,y,0
NZ85858,"5,270",Basic,High School or Below,Employed,F,78115,Urban,Married,19,111,1,Small,n,n,n,y,0
JU19953,"8,621",Basic,Master,Employed,F,81947,Urban,Married,23,91,12,Medsize,n,y,n,y,0
LC33025,"7,918",Extended,College,Employed,M,44698,Suburban,Married,17,243,0,Medsize,y,y,n,y,0
BV86143,"21,034",Basic,High School or Below,Employed,F,26876,Urban,Married,24,78,12,Medsize,n,y,n,y,0
AY88788,"15,418",Basic,College,Employed,F,69841,Urban,Married,17,220,0,Medsize,n,y,n,y,0
OJ33945,"8,693",Basic,High School or Below,Employed,F,97768,Rural,Divorced,30,78,22,Medsize,n,y,n,y,0
LO84523,"6,503",Basic,High School or Below,Unemployed,M,0,Suburban,Single,25,227,6,Medsize,y,y,n,y,0
GJ43254,"31,642",Extended,College,Employed,M,89057,Rural,Married,31,100,17,Medsize,y,y,n,y,0
AR96516,"5,915",Basic,Bachelor,Employed,F,50217,Suburban,Married,45,96,18,Medsize,n,y,n,y,0
WH11924,"4,646",Basic,College,Unemployed,M,0,Suburban,Single,22,117,3,Large,n,n,n,y,1
DL26809,"6,827",Basic,College,Unemployed,M,0,Suburban,Single,24,76,13,Small,n,y,n,y,1
MV69686,"3,982",Extended,Doctor,Employed,F,38500,Urban,Married,38,79,26,Large,n,y,n,y,0
SC95565,"2,888",Basic,High School or Below,Employed,F,62018,Urban,Married,29,73,21,Medsize,n,n,n,y,0
RL31641,"2,252",Basic,College,Unemployed,F,0,Suburban,Single,23,75,13,Medsize,n,y,n,y,1
OH83248,"8,459",Premium,Master,Employed,M,57394,Urban,Married,17,150,8,Medsize,y,y,n,n,0
DB28979,"7,478",Basic,Bachelor,Employed,M,23530,Suburban,Divorced,33,87,22,Medsize,y,y,n,y,0
ZS32263,"3,789",Extended,High School or Below,Employed,F,48887,Suburban,Divorced,44,71,26,Medsize,n,y,n,y,0
IY59173,"5,221",Extended,Master,Employed,F,68867,Suburban,Married,34,141,19,Medsize,y,y,n,y,0
KL17620,"7,130",Basic,College,Disabled,F,12062,Suburban,Single,17,95,3,Medsize,n,y,n,y,0
CP28581,"8,514",Basic,College,Employed,M,59230,Rural,Married,33,139,11,Medsize,y,y,n,n,0
QR15592,"5,660",Basic,Bachelor,Employed,F,59586,Rural,Divorced,30,88,6,Medsize,n,y,n,n,0
DX98298,"4,082",Basic,High School or Below,Employed,M,57506,Suburban,Married,39,108,24,Small,y,y,n,y,0
TG68823,"5,319",Basic,Bachelor,Employed,F,25134,Suburban,Married,23,97,3,Small,n,y,n,y,1
WO78310,"4,160",Basic,College,Unemployed,F,0,Suburban,Single,19,105,3,Large,n,y,n,y,1
SC78905,"2,237",Basic,College,Unemployed,F,0,Suburban,Married,27,87,19,Small,y,y,n,y,1
EL88957,"3,460",Basic,College,Unemployed,M,0,Suburban,Married,36,120,15,Medsize,y,y,y,n,0
SS54050,"16,006",Basic,Bachelor,Employed,M,44901,Suburban,Married,34,72,15,Small,y,y,n,y,0
ZV99487,"6,987",Extended,Bachelor,Unemployed,F,0,Rural,Married,43,95,21,Medsize,y,n,n,n,0
XI51746,"8,827",Basic,Bachelor,Employed,F,28463,Urban,Married,17,147,0,Medsize,y,y,y,y,1
KG85675,"4,727",Extended,Bachelor,Medical Leave,F,13037,Suburban,Married,46,120,28,Small,n,y,n,y,0
KK64803,"27,443",Extended,High School or Below,Employed,M,82320,Suburban,Married,17,143,4,Medsize,n,y,n,y,0
OM80593,"7,247",Basic,Bachelor,Unemployed,F,0,Suburban,Single,23,128,9,Medsize,y,y,n,y,0
RL59810,"5,138",Basic,College,Employed,F,78460,Urban,Married,17,88,3,Medsize,n,y,n,n,0
QQ53360,"2,739",Extended,College,Unemployed,M,0,Suburban,Married,47,82,26,Medsize,n,y,y,y,0
WR76339,"5,093",Basic,College,Employed,M,46922,Suburban,Married,45,62,34,Medsize,n,y,y,y,0
BA40043,"5,800",Basic,College,Employed,M,60689,Rural,Single,38,60,29,Medsize,n,y,n,y,0
MK52197,"5,507",Basic,Master,Unemployed,F,0,Suburban,Married,18,91,3,Medsize,n,y,n,y,0
SV48204,"10,485",Extended,College,Employed,F,61108,Rural,Divorced,49,79,22,Medsize,y,y,n,y,0
RJ79502,"8,501",Basic,Bachelor,Employed,M,98003,Urban,Divorced,25,149,4,Small,n,n,n,y,0
SM14243,"8,426",Basic,High School or Below,Unemployed,F,0,Suburban,Married,41,70,30,Medsize,n,y,n,y,0
NL32558,"6,503",Extended,High School or Below,Disabled,F,22081,Suburban,Married,23,126,1,Small,n,y,n,y,0
CP92616,"46,805",Extended,High School or Below,Employed,M,83006,Urban,Married,29,255,8,Small,y,y,n,y,0
BP28492,"4,835",Basic,College,Employed,F,38713,Suburban,Divorced,49,52,31,Medsize,n,n,n,y,0
MX28412,"2,575",Basic,College,Medical Leave,F,28700,Suburban,Married,27,114,2,Medsize,n,y,n,n,0
DT99586,"37,112",Basic,Master,Employed,F,61552,Rural,Married,17,161,1,Medsize,y,n,n,y,0
IC41932,"4,371",Basic,College,Employed,M,56718,Suburban,Divorced,19,159,7,Medsize,n,y,y,y,0
DA35744,"16,796",Basic,Doctor,Employed,M,66776,Rural,Single,35,103,11,Small,n,y,n,y,0
GU96042,"7,989",Basic,High School or Below,Employed,M,58268,Urban,Married,29,105,12,Medsize,n,y,n,n,0
UW98698,"2,270",Basic,College,Unemployed,M,0,Suburban,Single,36,84,22,Medsize,y,y,n,y,0
SF32458,"4,991",Basic,Doctor,Medical Leave,M,12608,Urban,Married,41,72,23,Medsize,y,y,n,y,0
OM85313,"2,922",Basic,Master,Employed,M,63499,Urban,Married,36,71,21,Medsize,y,y,n,y,0
MH81246,"7,613",Extended,High School or Below,Employed,M,36247,Urban,Married,54,92,35,Medsize,n,y,n,y,0
OH99089,"5,827",Basic,Master,Employed,F,30228,Rural,Married,41,65,28,Medsize,y,y,y,n,0
TG57800,"2,601",Basic,College,Unemployed,F,0,Suburban,Single,30,76,19,Medsize,y,y,n,y,0
GX19342,"8,491",Premium,High School or Below,Unemployed,F,0,Suburban,Single,17,162,3,Large,n,y,y,y,1
XE39286,"9,779",Extended,Bachelor,Employed,F,99364,Suburban,Married,29,167,3,Small,y,y,n,y,0
JA93297,"22,659",Basic,Bachelor,Retired,M,23665,Suburban,Married,36,55,19,Medsize,n,y,n,y,0
II37789,"10,004",Extended,College,Unemployed,F,0,Suburban,Single,34,136,7,Large,n,y,n,n,0
IC32996,"4,873",Basic,High School or Below,Employed,M,69247,Urban,Married,29,67,12,Medsize,y,y,n,y,0
LO67195,"7,445",Extended,College,Employed,F,56047,Rural,Married,51,78,26,Large,y,y,y,y,0
PG93638,"5,761",Basic,College,Employed,M,28919,Urban,Married,30,111,11,Medsize,y,y,n,y,0
OZ41737,"5,367",Basic,Doctor,Unemployed,F,0,Urban,Married,26,116,5,Large,n,y,n,y,0
OY66019,"6,259",Extended,College,Unemployed,F,0,Urban,Married,30,99,8,Medsize,n,y,n,y,0
CH73843,"7,624",Basic,High School or Below,Employed,M,69900,Rural,Married,46,54,23,Large,n,y,n,y,0
XT93203,"10,964",Premium,High School or Below,Employed,M,55687,Suburban,Divorced,48,262,33,Medsize,n,y,n,y,0
OR85652,"7,428",Extended,Bachelor,Employed,F,78294,Rural,Married,17,130,6,Medsize,n,n,n,y,0
YD87931,"4,952",Basic,Doctor,Employed,M,46896,Rural,Married,25,72,9,Medsize,n,y,n,y,0
XK11432,"4,665",Basic,Bachelor,Unemployed,M,0,Suburban,Married,47,56,26,Small,y,y,y,y,0
OX24868,"6,022",Premium,High School or Below,Unemployed,F,0,Suburban,Single,21,196,11,Medsize,y,y,n,y,0
EZ74530,"3,074",Basic,High School or Below,Unemployed,M,0,Suburban,Single,43,120,25,Medsize,y,n,n,y,0
HP46467,"4,953",Extended,College,Employed,F,21385,Suburban,Divorced,26,135,14,Large,n,y,n,y,1
KP54476,"7,780",Extended,Master,Employed,M,87128,Suburban,Single,46,87,26,Medsize,y,y,n,n,0
AI47152,"7,993",Basic,College,Employed,F,35434,Urban,Married,28,62,19,Medsize,n,y,n,y,0
BU15334,"4,171",Basic,Master,Employed,F,29462,Suburban,Single,45,93,28,Large,y,y,n,y,0
GD59796,"23,228",Premium,College,Employed,F,53243,Suburban,Single,46,96,26,Small,n,y,n,y,0
OX59701,"5,446",Extended,High School or Below,Employed,M,21006,Suburban,Married,29,173,14,Medsize,y,n,n,y,0
OD63728,"4,558",Basic,College,Unemployed,F,0,Suburban,Single,46,51,24,Medsize,n,y,n,y,0
JC38573,"5,528",Basic,Bachelor,Employed,M,36088,Suburban,Single,38,74,16,Medsize,n,n,y,y,0
RC11491,"10,391",Extended,College,Employed,F,28948,Rural,Married,25,147,7,Medsize,n,y,n,n,0
RZ24101,"7,143",Premium,College,Medical Leave,F,24417,Suburban,Divorced,49,183,22,Medsize,y,n,y,n,0
OB88698,"5,470",Basic,High School or Below,Employed,M,67099,Rural,Married,23,73,11,Medsize,y,y,n,y,0
IK92617,"11,629",Extended,Bachelor,Employed,F,97830,Urban,Married,17,142,3,Small,y,n,n,y,0
YH43996,"10,190",Premium,College,Unemployed,M,0,Suburban,Single,32,119,15,Small,n,n,n,n,0
BJ65040,"2,733",Basic,High School or Below,Employed,F,93558,Suburban,Married,39,63,19,Medsize,n,n,n,n,0
WY57101,"4,014",Extended,Doctor,Employed,F,37384,Suburban,Married,30,129,9,Medsize,y,y,n,n,0
OG77759,"7,120",Basic,Bachelor,Disabled,M,28227,Suburban,Married,37,86,14,Small,n,n,n,y,0
HN38084,"11,773",Basic,High School or Below,Employed,M,51008,Suburban,Married,21,120,5,Small,n,y,y,y,1
GD11927,"2,382",Basic,High School or Below,Employed,M,78185,Suburban,Single,35,53,23,Small,y,n,n,n,0
MC20349,"5,208",Basic,Bachelor,Unemployed,F,0,Suburban,Single,53,68,35,Medsize,y,y,y,y,0
HM22034,"5,019",Basic,College,Unemployed,M,0,Suburban,Divorced,57,54,34,Medsize,n,y,n,y,0
KH48996,"11,901",Basic,Bachelor,Employed,F,97205,Rural,Divorced,44,110,22,Small,y,y,n,y,0
VM34210,"7,399",Basic,College,Unemployed,F,0,Urban,Married,38,95,28,Medsize,n,y,n,y,0
LS90887,"5,674",Basic,Bachelor,Employed,F,26225,Urban,Married,39,66,18,Medsize,y,y,n,y,0
EN72010,"7,271",Basic,College,Disabled,M,20545,Suburban,Single,45,54,23,Medsize,n,y,n,y,0
KH44031,"3,164",Extended,Master,Unemployed,F,0,Suburban,Married,39,109,20,Medsize,n,y,n,n,0
GJ47896,"2,661",Basic,College,Employed,F,35503,Urban,Married,39,91,14,Medsize,y,y,n,y,0
GD87742,"14,141",Basic,College,Employed,F,58988,Suburban,Married,17,164,3,Medsize,n,y,n,y,0
MD14027,"7,654",Basic,Bachelor,Unemployed,F,0,Suburban,Single,33,90,16,Medsize,y,y,n,y,0
XA32915,"2,200",Basic,High School or Below,Unemployed,M,0,Suburban,Single,43,82,21,Small,y,n,n,y,0
XR52852,"2,004",Basic,College,Unemployed,F,0,Suburban,Divorced,37,68,16,Small,n,y,y,y,1
EZ48947,"13,111",Basic,College,Employed,M,67197,Rural,Single,17,137,2,Large,n,y,n,n,0
OJ50322,"15,763",Premium,High School or Below,Employed,M,39032,Suburban,Married,38,184,31,Medsize,n,y,n,y,0
XB77333,"13,198",Basic,College,Unemployed,F,0,Suburban,Single,33,82,19,Large,y,n,n,y,0
QB58745,"2,788",Basic,High School or Below,Employed,M,34927,Urban,Married,17,92,5,Large,y,y,n,y,0
IG62421,"3,436",Extended,Doctor,Employed,M,30817,Rural,Divorced,42,84,25,Medsize,n,y,n,y,0
SF29724,"2,713",Basic,Bachelor,Employed,F,31535,Rural,Single,42,44,27,Medsize,y,y,n,y,0
WM95454,"2,867",Extended,Bachelor,Retired,F,23376,Suburban,Divorced,40,100,19,Medsize,n,y,n,y,1
CB96381,"14,590",Basic,College,Employed,F,46244,Urban,Divorced,23,74,8,Medsize,n,y,y,y,0
MJ60422,"6,652",Extended,Bachelor,Employed,M,34886,Suburban,Married,17,112,3,Small,n,n,y,y,1
NC63295,"2,445",Basic,High School or Below,Unemployed,M,0,Suburban,Married,44,44,27,Large,y,y,n,y,0
JX76668,"11,314",Premium,High School or Below,Employed,F,62935,Rural,Married,43,121,29,Small,y,y,n,y,0
ZE76673,"10,972",Extended,Doctor,Employed,M,24164,Suburban,Divorced,17,177,2,Medsize,n,y,y,y,1
XG19917,"3,190",Extended,Bachelor,Unemployed,F,0,Suburban,Single,33,113,6,Medsize,y,y,n,y,0
WF34690,"19,357",Basic,Bachelor,Unemployed,F,0,Suburban,Married,38,94,20,Medsize,y,y,n,y,0
ZM28138,"7,227",Basic,Bachelor,Employed,F,40153,Suburban,Single,23,93,1,Medsize,y,y,n,y,0
FI14842,"7,857",Basic,College,Unemployed,F,0,Suburban,Married,32,108,12,Medsize,n,y,n,y,0
KC32511,"5,182",Basic,Master,Employed,F,97131,Suburban,Married,17,88,5,Small,y,y,y,y,0
NE10467,"4,281",Basic,High School or Below,Employed,F,23712,Suburban,Married,17,134,2,Medsize,n,n,y,y,1
PT93474,"11,513",Basic,Bachelor,Unemployed,F,0,Suburban,Divorced,37,48,26,Medsize,y,y,n,y,0
RL74454,"5,147",Basic,Bachelor,Employed,F,33171,Urban,Married,39,63,27,Medsize,y,y,n,y,0
DQ31994,"8,663",Extended,College,Unemployed,F,0,Suburban,Single,38,89,18,Medsize,n,y,y,y,0
DN98431,"2,535",Basic,High School or Below,Unemployed,F,0,Suburban,Married,43,78,24,Medsize,n,n,n,y,1
EV53200,"21,504",Basic,College,Employed,M,60228,Urban,Divorced,34,116,23,Medsize,y,y,n,y,0
AJ89107,"7,349",Extended,High School or Below,Employed,M,27072,Suburban,Married,33,77,24,Large,y,y,n,n,0
WS25565,"8,510",Basic,Master,Disabled,M,26057,Suburban,Divorced,30,100,3,Small,n,y,n,y,1
ZY33234,"4,297",Premium,High School or Below,Employed,F,66331,Suburban,Single,17,135,0,Large,y,n,n,y,0
QW17286,"2,778",Basic,Master,Employed,F,66030,Urban,Married,41,49,33,Medsize,n,y,n,n,0
TO34442,"5,533",Basic,College,Employed,M,59768,Suburban,Married,17,95,6,Small,n,y,n,y,0
DG90902,"17,477",Basic,College,Employed,F,45106,Suburban,Married,42,55,22,Medsize,y,y,n,y,0
SW96063,"10,480",Extended,Bachelor,Employed,F,78435,Urban,Divorced,28,144,11,Medsize,n,y,n,y,0
CP19929,"2,243",Basic,Bachelor,Unemployed,F,0,Suburban,Single,42,27,31,Medsize,n,y,n,y,0
KR50062,"2,754",Basic,College,Employed,M,79507,Suburban,Married,32,82,7,Medsize,n,n,n,y,1
CU19735,"8,041",Basic,High School or Below,Employed,M,44986,Suburban,Married,23,127,14,Medsize,y,n,n,y,0
ST52914,"6,043",Extended,College,Employed,M,25899,Suburban,Divorced,29,111,10,Medsize,y,n,n,y,0
WQ68301,"2,827",Basic,Bachelor,Medical Leave,M,13610,Suburban,Married,17,88,7,Large,y,y,y,y,1
LR33381,"22,042",Basic,Doctor,Unemployed,M,0,Suburban,Married,21,77,11,Small,y,y,n,y,0
UR36912,"2,797",Basic,Bachelor,Employed,M,77362,Suburban,Married,41,78,14,Medsize,n,y,n,y,0
SK46419,"4,073",Basic,High School or Below,Employed,M,96443,Suburban,Single,18,134,1,Medsize,y,y,n,y,0
BY88757,"5,182",Extended,Master,Unemployed,M,0,Suburban,Married,22,169,2,Large,n,y,y,y,1
ER65086,"6,132",Extended,Doctor,Employed,M,90778,Rural,Married,58,52,31,Medsize,n,n,n,y,0
TP87527,"2,392",Basic,High School or Below,Unemployed,F,0,Suburban,Divorced,25,95,11,Large,y,n,n,y,1
VL80291,"3,210",Extended,Master,Employed,F,78494,Rural,Divorced,29,117,6,Medsize,n,y,y,y,1
WL45773,"2,809",Basic,Doctor,Employed,F,83497,Urban,Married,54,73,28,Medsize,y,n,n,n,0
TT36693,"4,363",Premium,College,Employed,M,58842,Suburban,Married,33,136,6,Medsize,y,y,n,y,0
PT12544,"6,880",Extended,College,Employed,M,63935,Urban,Married,28,101,20,Medsize,n,y,n,y,0
CI24326,"3,591",Extended,Bachelor,Unemployed,M,0,Suburban,Married,19,140,5,Medsize,y,y,n,y,0
YQ73717,"5,201",Basic,High School or Below,Unemployed,M,0,Suburban,Married,24,115,1,Medsize,y,y,n,y,0
FG99706,"5,522",Extended,College,Unemployed,F,0,Suburban,Single,47,65,20,Medsize,n,y,y,y,0
OM63414,"5,072",Basic,Bachelor,Employed,F,62258,Rural,Single,26,97,14,Large,y,y,n,y,0
JQ74890,"2,922",Extended,Bachelor,Unemployed,M,0,Suburban,Single,28,86,10,Medsize,y,n,n,y,1
FP93662,"15,807",Extended,Master,Employed,F,58516,Suburban,Married,25,106,14,Large,y,y,n,y,0
PF40592,"4,943",Basic,College,Medical Leave,F,23285,Rural,Married,52,65,30,Medsize,n,n,n,y,0
EW82164,"4,167",Basic,Bachelor,Employed,F,56901,Suburban,Married,43,78,29,Small,y,y,n,y,0
KV99550,"6,515",Basic,High School or Below,Unemployed,M,0,Suburban,Married,24,77,12,Small,n,n,y,y,0
CA96230,"9,190",Basic,Doctor,Employed,M,99443,Rural,Married,22,145,6,Medsize,n,y,n,y,0
QN17712,"8,231",Basic,College,Unemployed,F,0,Urban,Divorced,28,159,4,Medsize,n,y,y,y,0
